id,app_name,timestamp,query,response,model_name,latency_ms,health_score,hallucination_score,drift_score,faithfulness_score,context_relevance,answer_relevancy,groundedness_score,sentiment_score,toxicity_score,response_length,language_detected,is_denial
dbbf5711-ea37-4fbc-8fb4-07e24c01fa28,demo-chatbot,2026-03-20 08:07:41.086005+00:00,hi,That's a great question about 'hi'. Let me explain: this is a broad topic that covers many aspects of computer science and technology.,simulated-llm-v1,0,77,0.2714,0.2773,,,,,0.81245,0.0005735665909014642,23,en,False
8622184b-b2b2-487b-bb87-ebc0b941beba,demo-chatbot,2026-03-20 08:07:29.061758+00:00,so what is neural networls,Regarding 'so what is neural networls': this is an important concept in modern computing. It involves several key principles and practices.,simulated-llm-v1,0,87,0.0752,0.1827,,,,,0.60115,0.0006045016343705356,21,en,False
56dee26d-ea6e-403d-92ac-1073cd6e5baf,demo-chatbot,2026-03-20 08:07:14.967346+00:00,What is an LLM?,"Based on my knowledge: Large Language Models (LLMs) are neural networks trained on massive text datasets. They can generate human-like text, answer questions, translate languages, and perform many NLP tasks. Examples include GPT-4, Claude, Llama, and Gemini.",simulated-llm-v1,0,84,0.0035,0.2067,0.8203,0.5821,0.5772,0.6759,0.5,0.0005999582936055958,37,en,False
8229bd49-e972-4290-8e5e-0e2d0acf7eeb,demo-chatbot,2026-03-20 08:07:14.966327+00:00,What is an LLM?,"Based on my knowledge: Large Language Models (LLMs) are neural networks trained on massive text datasets. They can generate human-like text, answer questions, translate languages, and perform many NLP tasks. Examples include GPT-4, Claude, Llama, and Gemini.",simulated-llm-v1,0,78,0.2114,0.2555,,,,,0.5,0.0005999582936055958,37,en,False
bd2e3997-6620-4990-a325-ec9681642252,demo-rag,2026-03-20 07:48:09.534272+00:00,What is quantum computing?,Based on our knowledge base: No relevant documents found in knowledge base....,unknown,0,68,0.1521,,0.7115,0.0707,0.1334,0.3458,0.352,0.0006369404727593064,12,en,False
02a92bc5-cdd9-4dc2-8605-e6c0162bedc0,demo-rag,2026-03-20 07:48:09.533260+00:00,Explain how RAG works,Based on our knowledge base: Retrieval-Augmented Generation (RAG) combines a retriever that fetches relevant documents from a knowledge base with a generator that produces respons...,unknown,0,82,0.0233,,0.9509,0.3743,0.282,0.5772,0.5,0.0005921046831645072,25,en,False
d5884d8d-1b69-4287-bfc9-93d0cf744198,demo-rag,2026-03-20 07:48:09.533260+00:00,What is a transformer?,Based on our knowledge base: The Transformer architecture was introduced in the 2017 paper 'Attention Is All You Need' by Vaswani et al. It relies entirely on self-attention mecha...,unknown,0,82,0.0519,,0.7759,0.4614,0.5125,0.6025,0.5,0.0006662437226623297,29,en,False
e1c657a6-4555-41d1-817c-cfc41e6df9b5,demo-chatbot,2026-03-20 07:48:09.531733+00:00,What is Python?,"Python is a high-level, interpreted programming language created by Guido van Rossum and first released in 1991. It emphasizes code readability and supports multiple programming paradigms.",simulated-llm-v1,0,89,0.0892,0.1574,,,,,0.77115,0.000787192489951849,26,en,False
1c889ba1-fe18-4ec6-a7a5-0f0f0f03838b,demo-chatbot,2026-03-20 07:48:09.531733+00:00,Explain embeddings,"Embeddings are dense vector representations of data (text, images, etc.) in a continuous vector space. They capture semantic meaning, so similar items have similar embeddings. For example, 'king' and 'queen' would be close in embedding space.",simulated-llm-v1,0,82,0.1157,0.2489,,,,,0.5,0.0006655364413745701,36,en,False
686afa59-c0c3-44dc-9b5b-7be576498568,demo-chatbot,2026-03-20 07:48:09.530227+00:00,How does a neural network work?,"A neural network consists of layers of interconnected nodes (neurons) that process input data through weighted connections. Each layer transforms the data, learning increasingly abstract representations.",simulated-llm-v1,0,83,0.136,0.196,,,,,0.5,0.0005683399504050612,26,en,False
